id;first_name;last_name;phone;email;description;status;creation_date;locality_id;organization_id;service_type_id
1;Anika;Bernier;724-375-9908 x13340;Marlon_Emard@gmail.com;orchestration Netherlands Antillian Guilder;REJECTED;2020-04-05;1;1;1
2;Lawson;Renner;691.763.9961 x5072;Kailey.Ankunding17@gmail.com;hub SMTP Investment Account;OPEN;2020-04-05;2;2;2
3;Adrianna;Will;1-356-253-6907 x131;Eldon57@gmail.com;models;REJECTED;2020-04-04;3;3;3
4;Abagail;Ferry;924.557.0368;Jeanne.Fahey@gmail.com;Visionary;OPEN;2020-04-05;4;4;4
5;Sandra;Hirthe;617.992.7851 x8266;Lester.Oberbrunner@hotmail.com;Indiana Communications navigating;CANCELLED;2020-04-05;5;5;5
6;Willard;Stiedemann;1-686-037-9544;Dane.Mraz@yahoo.com;THX teal Coordinator;IN_PROCESS;2020-04-05;6;6;6
7;Jackson;Koch;998-600-6215;Mckenzie22@hotmail.com;Usability functionalities Computer;CANCELLED;2020-04-04;7;7;7
8;Wendell;Walker;(215) 831-2550 x3459;Jewell_Franecki@yahoo.com;back-end transmit;CANCELLED;2020-04-05;8;8;8
9;Garfield;Rippin;185.722.0759 x71879;Creola27@yahoo.com;Books Ethiopian Birr cross-platform;OPEN;2020-04-04;9;9;9
10;Eva;Grimes;1-335-009-6677 x24797;Rhiannon.Ledner20@hotmail.com;cross-platform Cambridgeshire killer;IN_PROCESS;2020-04-04;10;10;10
